Country,Year,Population (M),Population WPP (000s),Pop Density (per km²),Median Age (yrs),Pop Growth Rate (%),"Birth Rate (per 1,000)",Fertility Rate,"Death Rate (per 1,000)",Life Expectancy (yrs),"Infant Mortality (per 1,000)","Net Migration Rate (per 1,000)",Net Migrants (000s),GDP (Current USD),GDP Per Capita (USD),Health Exp (% of GDP),Health Exp Per Capita (USD),Govt Health Exp (% Gov Exp),Out-of-Pocket (% Health Exp),Lebanon CPI (Dec 2013=100),"Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)",Male Deaths (thousands),Female Deaths (thousands),Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)"
Lebanon,2017,6.1601,6160.128,602.163,28.414,-2.751,18.648,2.372,4.984,78.192,11.714,-41.178,-253.664,53027680686.0,8608.21,7.80357552,671.75,12.02719212,33.06612396,100.55,3034.435,3125.693,15.778,14.925,76.072,80.13,62.315,66.279,16.092,18.993,6.865,8.402,32.492,25.916,101.39,71.088,33.751,25.312,86.411,57.496
Lebanon,2018,5.9841,5984.119,584.958,28.266,-3.051,18.09,2.347,5.195,78.263,12.145,-43.398,-259.7,54901519156.0,9174.54,8.07031727,740.41,11.66725445,35.30458069,106.65,2932.212,3051.907,15.826,15.259,76.26,80.093,62.554,66.288,16.109,18.993,6.872,8.402,29.908,26.408,97.219,71.413,29.577,25.153,81.612,57.281
Lebanon,2019,5.7946,5794.594,566.431,27.946,-3.392,17.622,2.327,5.458,78.208,12.668,-46.076,-266.992,51605959131.0,8905.88,8.68533897,773.51,13.68380451,30.71131897,109.74,2823.127,2971.467,16.076,15.552,76.211,80.048,62.557,66.291,16.108,18.993,6.871,8.403,30.507,26.959,97.756,71.902,29.489,25.107,81.525,57.217
Lebanon,2020,5.7024,5702.398,557.419,27.813,0.213,16.912,2.308,6.407,76.299,16.232,-8.38,-47.787,31712128254.0,5561.19,7.48221779,416.1,14.47089767,30.31226349,202.87,2770.02,2932.378,19.165,17.37,73.855,78.669,60.7,65.255,15.207,18.446,6.597,8.133,43.072,34.006,131.961,88.719,42.386,30.176,109.883,69.939
Lebanon,2021,5.7181,5718.122,558.956,27.954,0.338,16.573,2.283,8.421,73.65,14.047,-4.773,-27.29,23131941557.0,4045.37,4.40006208,178.0,11.56579113,32.36011505,516.82,2777.715,2940.407,25.932,22.221,71.022,76.357,57.525,62.756,12.989,16.398,5.316,7.209,42.181,34.971,164.243,101.406,54.011,37.821,146.109,84.557
Lebanon,2022,5.7445,5744.489,561.534,28.106,0.582,16.372,2.263,5.769,78.003,14.803,-4.788,-27.507,20992421949.0,3654.36,4.91255951,179.52,12.46416092,32.43323898,1401.65,2791.093,2953.396,16.723,16.414,75.979,79.864,62.535,66.292,16.108,18.994,6.872,8.403,33.533,29.218,100.732,74.059,29.915,25.111,81.999,57.22
Lebanon,2023,5.7735,5773.493,564.369,28.323,0.426,16.144,2.239,5.962,77.817,15.717,-5.922,-34.193,20078620357.0,3477.72,5.57497263,193.88,15.90552902,29.70126343,4504.1,2806.602,2966.891,17.429,16.989,75.744,79.734,62.401,66.253,16.089,18.978,6.864,8.396,36.371,30.536,104.484,75.664,31.989,25.439,84.565,57.747
Lebanon,2024,5.806,5805.962,567.543,28.555,0.695,15.958,2.227,6.035,77.945,15.358,-2.974,-17.267,,,,,,,6541.89,2823.634,2982.327,17.748,17.29,75.876,79.857,62.499,66.345,16.156,19.045,6.898,8.435,35.736,29.99,103.142,74.629,31.628,25.146,83.634,57.091
Saudi Arabia,2010,23.9785,25157.128,11.703,23.546,3.754,20.127,2.81,2.668,75.616,10.085,20.072,504.955,528207466667.0,22028.39,3.64786148,803.57,6.84370041,18.94513893,,15372.356,9784.772,44.635,22.491,74.113,78.038,60.341,64.173,16.282,17.899,7.557,7.92,45.246,27.914,153.707,95.946,58.149,31.923,139.09,82.39
Saudi Arabia,2011,25.0919,26105.645,12.144,24.193,3.65,20.324,2.8,2.642,75.808,9.488,18.818,491.253,680660800000.0,27126.75,3.68218255,998.86,7.57989597,15.62115383,,16052.058,10053.587,46.213,22.762,74.316,78.244,60.507,64.329,16.234,17.896,7.451,7.882,44.414,26.444,147.572,91.453,56.245,29.905,133.276,78.441
Saudi Arabia,2012,26.1689,27062.443,12.589,24.86,3.55,20.387,2.78,2.593,76.09,8.936,17.707,479.206,751921333333.0,28733.44,3.98779845,1145.83,8.25906754,15.15621376,,16736.409,10326.034,47.259,22.906,74.635,78.48,60.793,64.519,16.24,17.93,7.376,7.867,43.543,25.125,139.377,86.955,53.849,28.051,125.355,74.452
Saudi Arabia,2013,27.624,28026.825,13.038,25.545,3.454,19.712,2.67,2.506,76.517,8.42,17.333,485.794,769755733333.0,27865.47,4.42293596,1232.47,8.74786663,14.35986423,,17425.279,10601.547,47.473,22.768,75.131,78.792,61.255,64.787,16.373,18.052,7.391,7.915,42.615,23.938,129.352,82.544,51.118,26.424,115.645,70.554
Saudi Arabia,2014,28.3093,28998.128,13.489,26.248,3.361,19.822,2.68,2.392,77.116,7.939,16.178,469.144,787153066667.0,27805.49,5.15800905,1434.21,9.27807522,13.13586998,,18118.588,10879.541,46.927,22.437,75.826,79.21,61.91,65.16,16.681,18.298,7.539,8.051,41.668,22.883,118.219,78.355,48.305,25.076,104.931,66.899
Saudi Arabia,2015,29.8164,29974.938,13.944,26.967,3.266,19.405,2.63,2.266,77.776,7.494,15.523,465.292,693414400000.0,23256.15,5.8620224,1363.28,10.06429672,14.38336658,,18815.81,11159.128,46.002,21.912,76.583,79.678,62.621,65.584,17.075,18.617,7.757,8.247,40.751,21.958,107.902,74.647,45.854,24.027,95.154,63.738
Saudi Arabia,2016,30.9542,30717.808,14.289,27.634,1.65,19.553,2.65,2.178,78.354,7.085,-0.879,-26.997,689279466667.0,22267.72,6.24142838,1389.82,12.60635757,14.45141888,,19296.03,11421.779,45.464,21.447,77.227,80.112,63.213,65.975,17.422,18.928,7.95,8.452,39.852,21.158,99.908,71.679,44.047,23.288,87.798,61.317
Saudi Arabia,2017,30.9774,30782.402,14.319,28.11,-1.226,19.824,2.67,2.174,78.721,6.711,-29.914,-920.812,741266133333.0,23929.29,6.03126049,1443.24,13.51315784,14.3235302,,19193.774,11588.628,45.44,21.484,77.6,80.429,63.53,66.249,17.587,19.153,8.019,8.614,38.882,20.483,95.066,69.678,42.97,22.869,83.651,59.848
Saudi Arabia,2018,30.1963,30365.121,14.125,28.32,-1.505,19.739,2.67,2.228,78.75,6.371,-32.562,-988.751,886564800000.0,29360.07,5.34063101,1568.01,11.04889965,15.89835358,,18713.633,11651.487,45.64,22.023,77.551,80.543,63.422,66.321,17.436,19.209,7.867,8.682,37.722,19.931,94.136,68.872,42.698,22.791,83.438,59.549
Saudi Arabia,2019,30.0638,30472.811,14.175,28.404,2.207,18.075,2.49,2.295,78.313,6.062,6.287,191.582,888890133333.0,29566.79,5.46743011,1616.54,11.97922897,11.40407372,,18639.721,11833.091,47.083,22.867,76.943,80.375,62.754,66.113,16.867,19.023,7.42,8.606,36.357,19.499,98.473,69.477,43.528,23.074,88.49,60.629
Saudi Arabia,2020,31.5525,30991.207,14.417,28.489,1.176,16.628,2.27,2.46,77.596,5.78,-2.411,-74.725,767951200000.0,24338.83,6.64630127,1617.63,13.31901741,10.08158016,,18870.229,12120.978,51.799,24.445,76.014,80.055,61.77,65.756,16.111,18.702,6.844,8.441,35.172,19.15,107.388,70.811,45.534,23.516,98.065,62.389
Saudi Arabia,2021,30.7844,31328.375,14.573,28.508,0.989,15.902,2.17,2.615,77.089,5.521,-3.393,-106.287,982661066667.0,31920.77,5.93033648,1893.01,14.40493202,10.15629482,,19026.952,12301.423,56.118,25.79,75.329,79.881,61.043,65.551,15.622,18.503,6.464,8.323,34.559,18.808,116.094,71.322,47.823,23.701,107.286,63.259
Saudi Arabia,2022,32.1752,32175.352,14.967,28.731,4.302,15.217,2.14,2.57,77.31,5.278,30.367,977.072,1239075200000.0,38510.23,5.31400585,2046.44,14.51105118,12.78343868,,19541.493,12633.859,56.602,26.098,75.493,80.159,61.188,65.806,15.822,18.692,6.569,8.393,34.633,18.389,116.881,69.369,48.607,23.189,108.336,61.58
Saudi Arabia,2023,33.7027,33264.292,15.474,29.247,2.387,16.415,2.28,2.34,78.732,5.059,9.791,325.691,1218584533333.0,36156.85,5.68722248,2056.32,13.69143009,14.11603928,,20176.188,13088.104,52.609,25.227,77.097,81.156,62.806,66.795,17.175,19.506,7.489,8.781,35.946,17.9,104.243,63.848,46.777,21.695,95.551,56.185
Saudi Arabia,2024,35.3003,33962.757,15.799,29.563,1.776,16.495,2.308,2.337,78.982,6.045,3.597,122.17,1239804533333.0,35121.66,,,,,,20559.49,13403.266,53.21,26.146,77.329,81.33,63.237,67.009,17.36,19.692,7.843,8.917,38.017,17.497,97.651,62.567,43.18,20.637,86.508,54.455
Syria,2010,22.4824,22482.421,122.38,20.685,2.243,28.673,3.355,3.824,73.542,15.099,-2.418,-54.359,61390830875.0,2730.61,3.35286307,91.55,5.12483168,51.97356415,,11337.061,11145.36,48.137,37.843,71.614,75.618,58.414,62.129,13.835,16.142,5.757,6.752,50.861,38.997,159.782,112.328,56.206,41.872,138.041,94.134
Syria,2011,22.8781,22878.098,124.534,20.859,1.255,28.11,3.285,4.334,72.259,16.167,-11.229,-256.888,67539428159.0,2952.14,2.6616261,78.58,3.73561525,50.69988632,,11536.71,11341.388,57.184,41.968,69.863,74.86,56.912,61.663,13.66,15.966,5.689,6.67,74.345,45.606,193.876,123.323,82.648,46.553,169.411,101.558
Syria,2012,22.7598,22759.763,123.89,20.788,-2.301,27.722,3.221,6.829,66.206,20.896,-43.905,-999.267,43190318033.0,1897.66,3.22060776,61.12,4.47145319,50.79894638,,11471.073,11288.69,99.194,56.223,61.626,71.525,49.622,59.596,12.798,15.221,5.373,6.338,191.066,75.787,355.223,173.302,215.835,68.876,322.22,136.275
Syria,2013,21.6669,21666.917,117.941,20.131,-7.674,26.868,3.165,7.514,65.146,21.983,-96.059,-2081.303,21361254635.0,985.89,3.77518535,37.22,5.93319607,44.73649216,,10910.181,10756.737,104.149,58.664,60.25,70.871,48.428,59.2,12.643,15.079,5.329,6.286,211.242,81.923,381.683,183.173,238.116,73.261,347.258,143.085
Syria,2014,20.2737,20273.659,110.357,19.082,-5.548,23.784,3.117,7.353,65.492,21.566,-71.9,-1457.679,21502061466.0,1060.59,4.23171377,44.88,7.40168428,46.92281723,,10199.099,10074.56,94.071,55.004,60.579,71.198,48.644,59.386,12.701,15.15,5.36,6.327,207.282,78.788,376.069,178.424,234.786,71.335,342.786,140.022
Syria,2015,19.4246,19424.618,105.735,18.418,-2.953,21.298,3.067,8.223,63.265,22.256,-42.6,-827.496,16466863117.0,847.73,3.67464328,31.15,7.52296495,44.63256073,,9758.285,9666.333,104.217,55.515,57.195,70.646,45.235,58.976,12.414,15.065,5.27,6.299,263.176,84.076,445.324,188.568,302.912,77.456,414.09,148.618
Syria,2016,19.1938,19193.834,104.479,18.358,0.583,19.619,3.012,7.323,65.19,20.449,-6.464,-124.063,12597854877.0,656.35,3.89073515,25.54,8.31573296,45.03229904,,9625.815,9568.019,90.127,50.428,59.5,71.924,47.194,59.749,12.698,15.348,5.366,6.415,229.172,72.084,401.851,169.424,266.397,68.969,373.314,135.465
Syria,2017,19.2247,19224.668,104.647,18.577,-0.262,19.585,2.972,7.246,65.651,20.73,-14.955,-287.501,16369843352.0,851.5,3.91299295,33.32,8.94476509,43.80283356,,9626.998,9597.669,87.864,51.437,60.292,71.877,48.069,59.757,12.744,15.326,5.38,6.407,215.295,72.518,384.777,169.386,248.425,68.286,354.949,134.745
Syria,2018,19.5778,19577.845,106.569,19.067,3.865,18.932,2.932,6.544,67.371,20.578,26.259,514.102,21497782868.0,1098.07,3.93852568,43.25,8.54822063,43.07528687,,9792.72,9785.124,77.051,51.067,63.031,72.185,50.874,60.017,12.954,15.365,5.445,6.421,170.63,69.622,327.719,163.143,192.616,64.101,295.917,128.991
Syria,2019,20.3535,20353.534,110.792,19.807,3.905,19.717,2.878,5.284,70.97,17.652,24.614,500.985,22583045060.0,1109.54,3.96978569,44.05,9.07068634,41.6618576,,10175.062,10178.472,61.569,45.983,67.833,74.253,55.07,61.285,13.479,15.822,5.629,6.608,103.252,50.812,234.309,132.246,116.598,50.476,208.12,107.738
Syria,2020,21.0494,21049.429,114.58,20.44,2.837,20.64,2.837,5.058,71.944,16.668,12.782,269.05,12047752036.0,572.36,3.67009115,21.01,10.02773762,48.33858871,,10520.993,10528.436,60.092,46.367,69.174,74.808,56.183,61.572,13.207,15.855,5.461,6.594,76.323,43.824,202.68,122.952,86.623,45.324,178.756,101.69
Syria,2021,21.6288,21628.839,117.734,20.977,2.597,21.172,2.798,4.964,72.418,16.165,9.766,211.22,14353205678.0,663.61,3.50403309,23.25,7.69676352,59.46178436,,10810.785,10818.055,57.983,49.377,70.235,74.594,57.145,61.225,13.29,15.596,5.462,6.356,58.802,42.087,183.887,125.196,68.525,46.38,161.017,105.561
Syria,2022,22.4622,22462.173,122.27,21.588,4.92,21.234,2.746,4.773,72.79,16.243,32.728,735.142,23622827080.0,1051.67,3.3840971,35.59,7.90796661,59.94300842,,11228.512,11233.661,59.028,48.192,70.383,75.204,57.347,61.901,13.728,16.062,5.716,6.717,67.896,42.823,183.918,118.361,75.503,44.309,160.424,97.922
Syria,2023,23.5946,23594.623,128.434,22.249,4.917,22.107,2.712,5.039,72.12,16.736,32.097,757.309,,,2.70998812,,7.71054459,72.40081787,,11795.581,11799.042,64.983,53.917,69.829,74.412,57.003,61.382,13.663,15.973,5.689,6.689,74.433,51.893,193.673,131.618,80.711,51.722,167.61,107.757
Syria,2024,24.6728,24672.76,134.303,22.827,4.038,23.162,2.7,4.932,72.56,15.466,22.15,546.494,,,,,,,,12341.17,12331.59,67.01,54.684,70.21,74.916,57.266,61.721,13.788,16.159,5.743,6.777,71.259,48.315,188.132,125.415,78.345,49.412,163.45,103.55
Türkiye,2010,73.1422,73346.769,95.305,28.077,1.198,17.195,2.08,5.968,74.964,15.264,0.757,55.532,782545664268.0,10698.97,5.02053452,537.15,11.03767395,16.87221718,,36810.898,36535.871,247.553,190.144,71.903,78.212,58.405,64.65,14.029,17.604,5.469,7.802,43.881,30.721,161.474,80.242,54.537,26.968,143.625,63.08
Türkiye,2011,74.2236,74215.203,96.433,28.463,1.156,16.833,2.047,6.202,74.823,14.337,0.928,68.849,844192507381.0,11373.64,4.6530509,529.22,11.22104549,15.89518452,,37248.974,36966.229,261.735,198.546,71.758,78.121,58.172,64.478,13.861,17.464,5.338,7.656,42.91,29.86,162.591,80.16,55.174,27.35,145.759,63.944
Türkiye,2012,75.1758,75197.198,97.709,28.809,1.471,17.187,2.109,5.917,75.552,13.473,3.439,258.623,885327622479.0,11776.76,4.44444656,523.41,10.30854511,15.9315958,,37726.635,37470.564,252.329,192.587,72.477,78.813,58.809,65.085,14.249,17.915,5.539,7.909,39.785,27.517,152.362,74.601,51.242,25.212,136.498,59.447
Türkiye,2013,76.1476,76403.031,99.276,29.128,1.709,17.049,2.107,5.702,76.171,12.695,5.741,438.618,962167643589.0,12635.56,4.37099934,552.3,10.16183186,16.92680168,,38318.399,38084.632,245.959,189.7,73.118,79.365,59.376,65.564,14.584,18.271,5.722,8.108,36.959,25.673,143.298,70.303,47.744,23.64,128.298,56.069
Türkiye,2014,77.1819,78036.154,101.398,29.397,2.513,17.547,2.186,5.664,76.452,12.005,13.242,1033.384,942343431929.0,12209.39,4.32517862,528.08,10.29003143,17.72542191,,39125.774,38910.38,248.159,193.804,73.443,79.582,59.636,65.715,14.675,18.352,5.78,8.134,34.708,24.394,138.007,68.148,45.507,22.949,123.751,54.701
Türkiye,2015,78.2185,80014.226,103.968,29.621,2.494,17.362,2.157,5.711,76.539,11.381,13.287,1063.14,865460050684.0,11064.65,4.11690426,455.52,9.90802383,16.94873238,,40105.684,39908.542,257.54,199.388,73.481,79.74,59.61,65.811,14.65,18.411,5.763,8.135,34.213,23.271,136.926,66.512,45.919,22.502,123.431,53.808
Türkiye,2016,79.278,81652.088,106.096,29.875,1.568,17.155,2.115,5.787,76.595,10.807,4.312,352.063,870818016910.0,10984.36,4.28469229,470.65,9.94375896,16.46614456,,40913.63,40738.458,266.972,205.533,73.49,79.858,59.563,65.873,14.637,18.446,5.759,8.122,34.453,22.288,136.643,65.253,47.106,22.178,123.83,53.213
Türkiye,2017,80.3127,83083.662,107.956,30.152,1.905,16.76,2.082,5.651,77.037,10.288,7.942,659.846,863874522365.0,10756.39,4.17974997,449.59,9.96030045,17.38420105,,41617.836,41465.825,264.692,204.79,73.957,80.252,59.982,66.22,14.806,18.701,5.864,8.262,31.142,20.993,129.513,62.469,43.125,21.017,117.247,51.016
Türkiye,2018,81.4072,84415.969,109.688,30.45,1.281,16.138,2.004,5.545,77.454,9.814,2.222,187.57,788356985774.0,9684.12,4.12101603,399.08,9.29888058,17.49141884,,42272.56,42143.408,263.49,204.601,74.385,80.634,60.367,66.558,15.002,18.953,5.99,8.406,29.031,19.81,123.934,60.024,40.575,19.983,112.191,49.115
Türkiye,2019,82.5794,85357.672,110.911,30.825,0.939,15.095,1.886,5.52,77.737,9.379,-0.184,-15.69,775853144223.0,9395.23,4.35954332,409.59,9.53611851,17.04763412,,42726.628,42631.043,264.596,206.539,74.678,80.89,60.619,66.774,15.121,19.108,6.073,8.489,27.51,18.834,120.012,58.258,38.914,19.249,108.758,47.84
Türkiye,2020,83.3847,86091.692,111.865,31.245,0.774,13.88,1.768,6.58,76.525,8.96,0.441,37.934,733628247119.0,8798.12,4.61640215,406.16,10.49731636,16.43061447,,43068.231,43023.461,322.414,244.07,73.441,79.887,59.322,65.715,13.947,18.092,5.301,7.726,27.131,18.169,128.214,60.252,41.294,19.96,117.598,50.391
Türkiye,2021,84.1473,86686.253,112.637,31.653,0.603,13.185,1.708,7.389,75.722,8.548,0.234,20.283,839938668172.0,9981.76,4.56065559,455.23,11.48819828,16.27120399,,43334.332,43351.921,359.131,281.403,72.719,79.004,58.552,64.781,13.769,17.605,5.394,7.333,27.18,18.246,147.004,71.31,47.225,23.528,137.08,62.06
Türkiye,2022,84.9799,87058.473,113.121,32.072,0.255,12.394,1.625,6.384,77.591,8.152,-3.464,-301.544,926097476914.0,10897.84,3.70338893,403.59,10.18368053,19.47843933,,43491.874,43566.598,314.702,241.07,74.655,80.719,60.472,66.473,14.947,18.866,6.027,8.219,24.15,16.504,119.999,58.721,37.882,19.09,110.218,49.818
Türkiye,2023,85.326,87270.501,113.397,32.52,0.232,12.284,1.625,6.321,77.156,9.163,-3.645,-318.07,1141242864657.0,13375.09,4.27524424,571.82,9.78045368,19.04723167,,43577.543,43692.958,305.771,245.827,74.529,79.855,60.855,66.257,15.569,19.457,6.409,8.776,37.579,35.316,127.556,81.883,44.482,32.629,111.372,64.99
Türkiye,2024,85.5187,87473.805,113.661,32.987,0.234,12.125,1.621,6.635,77.421,9.591,-3.155,-275.952,1359123768774.0,15892.72,,,,,,43661.516,43812.289,322.961,257.436,74.619,80.342,60.537,66.301,15.184,18.765,6.055,8.307,28.841,20.804,122.413,62,41.071,20.847,111.426,50.657
